Name,LAT,LON,Date,T2M_MAX,T2M_MIN,Age
adrar,33.75,7.25,2022-1-1,18.37,8.48,6.3
adrar,33.75,7.75,2022-2-1,18.43,8.01,6.27
adrar,33.75,8.25,2022-3-1,18.77,7.84,6.41
adrar,33.75,8.75,2022-4-1,18.65,8.02,6.65
adrar,33.75,9.25,2022-5-1,18.53,7.92,6.75
adrar,33.29,9.75,2022-6-1,18.33,8.52,6.98
adrar,33.75,10.25,2024-1-1,17.87,10.1,7.45
adrar,34.25,7.25,2022-1-1,18.75,8.26,5.88
adrar,34.25,7.75,2022-1-1,18.78,7.83,5.73
adrar,34.25,8.25,2019-1-1,19.28,7.71,5.72
adrar,34.25,8.75,2022-1-1,19.87,7.76,5.89
adrar,34.25,9.25,2022-1-1,20.07,7.64,6.01
adrar,34.25,9.75,2022-1-1,19.67,8.48,6.46
adrar,34.25,10.25,2022-1-1,18.57,10.32,7.23
